"film","imdb_url",rating,timestamp,"backdated","directors",release_year,running_time
"An Inconvenient Truth","http://www.imdb.com/title/tt0497116/",3,1220508057,"No","Davis Guggenheim",2006,100
"Anaconda","http://www.imdb.com/title/tt0118615/",2,1220508057,"No","Luis Llosa",1997,89
"Anatomy of a Murder","http://www.imdb.com/title/tt0052561/",3,1220508057,"No","Otto Preminger",1959,160
"Anger Management","http://www.imdb.com/title/tt0305224/",2,1220508057,"No","Peter Segal",2003,106
"Angus","http://www.imdb.com/title/tt0112368/",3,1220508057,"No","Patrick Read Johnson",1995,90
"Anna and the King","http://www.imdb.com/title/tt0166485/",2,1220508057,"No","Andy Tennant",1999,148
"Anna Christie","http://www.imdb.com/title/tt0020641/",2,1220508057,"No","Clarence Brown",1930,89
"Annie Hall","http://www.imdb.com/title/tt0075686/",5,1220508057,"No","Woody Allen",1977,93
"Any Given Sunday","http://www.imdb.com/title/tt0146838/",1,1220508057,"No","Oliver Stone",1999,150
"Apocalypse Now","http://www.imdb.com/title/tt0078788/",3,1220508057,"No","Francis Ford Coppola",1979,153
"Arctic Tale","http://www.imdb.com/title/tt0488508/",2,1220508057,"No","Adam Ravetch, Sarah Robertson",2007,90
"Armageddon","http://www.imdb.com/title/tt0120591/",3,1220508057,"No","Michael Bay",1998,150
"Army of Shadows","http://www.imdb.com/title/tt0064040/",2,1220508057,"No","Jean-Pierre Melville",1969,140
"Art School Confidential","http://www.imdb.com/title/tt0364955/",2,1220508057,"No","Terry Zwigoff",2006,102
"Artificial Intelligence: AI","http://www.imdb.com/title/tt0212720/",5,1220508057,"No","Steven Spielberg",2001,146
"As Good as it Gets","http://www.imdb.com/title/tt0119822/",3,1220508057,"No","James L. Brooks",1997,139
"At First Sight","http://www.imdb.com/title/tt0132512/",2,1220508057,"No","Irwin Winkler",1999,128
"Atlantic City","http://www.imdb.com/title/tt0080388/",3,1220508057,"No","Louis Malle",1980,104
"Austin Powers in Goldmember","http://www.imdb.com/title/tt0295178/",3,1220508057,"No","Jay Roach",2002,94
"Austin Powers: International Man of Mystery","http://www.imdb.com/title/tt0118655/",3,1220508057,"No","Jay Roach",1997,94
"Austin Powers: The Spy Who Shagged Me","http://www.imdb.com/title/tt0145660/",3,1220508057,"No","Jay Roach",1999,95
"Auto Focus","http://www.imdb.com/title/tt0298744/",5,1220508057,"No","Paul Schrader",2002,105
"Autumn in New York","http://www.imdb.com/title/tt0174480/",3,1220508057,"No","Joan Chen",2000,103
"Awesome; I Fuckin' Shot That!","http://www.imdb.com/title/tt0488953/",3,1220508057,"No","Adam Yauch",2006,90
"Baby Mama","http://www.imdb.com/title/tt0871426/",2,1220508057,"No","Michael McCullers",2008,99
"Back to the Future","http://www.imdb.com/title/tt0088763/",4,1220508057,"No","Robert Zemeckis",1985,117
"Back to the Future Part II","http://www.imdb.com/title/tt0096874/",3,1220508057,"No","Robert Zemeckis",1989,108
"Back to the Future Part III","http://www.imdb.com/title/tt0099088/",2,1220508057,"No","Robert Zemeckis",1990,118
"Bad Santa","http://www.imdb.com/title/tt0307987/",2,1220508057,"No","Terry Zwigoff",2003,91
"Badlands","http://www.imdb.com/title/tt0069762/",5,1220508057,"No","Terrence Malick",1973,94
"Bandits","http://www.imdb.com/title/tt0219965/",2,1220508057,"No","Barry Levinson",2001,123
"Barbershop","http://www.imdb.com/title/tt0303714/",3,1220508057,"No","Tim Story",2002,102
"Barry Lyndon","http://www.imdb.com/title/tt0072684/",5,1220508057,"No","Stanley Kubrick",1975,184
"Barton Fink","http://www.imdb.com/title/tt0101410/",3,1220508057,"No","Joel Coen",1991,116
"BASEketball","http://www.imdb.com/title/tt0131857/",3,1220508057,"No","David Zucker",1998,103
"Batman","http://www.imdb.com/title/tt0096895/",3,1220508057,"No","Tim Burton",1989,126
"Batman Begins","http://www.imdb.com/title/tt0372784/",3,1220508057,"No","Christopher Nolan",2005,140
"Batman Forever","http://www.imdb.com/title/tt0112462/",2,1220508057,"No","Joel Schumacher",1995,121
"Batman Returns","http://www.imdb.com/title/tt0103776/",2,1220508057,"No","Tim Burton",1992,126
"Beauty and the Beast","http://www.imdb.com/title/tt0101414/",3,1220508057,"No","Gary Trousdale, Kirk Wise",1991,84
"Beavis and Butt-head Do America","http://www.imdb.com/title/tt0115641/",2,1220508057,"No","Mike Judge, Yvette Kaplan",1996,81
"Domicile conjugal","http://www.imdb.com/title/tt0065651/",3,1220508057,"No","Francois Truffaut",1970,100
"Bedazzled","http://www.imdb.com/title/tt0230030/",3,1220508057,"No","Harold Ramis",2000,93
"Beethoven","http://www.imdb.com/title/tt0103786/",2,1220508057,"No","Brian Levant",1992,87
"Beetle Juice","http://www.imdb.com/title/tt0094721/",3,1220508057,"No","Tim Burton",1988,92
"Being John Malkovich","http://www.imdb.com/title/tt0120601/",5,1220508057,"No","Spike Jonze",1999,112
"Being There","http://www.imdb.com/title/tt0078841/",3,1220508057,"No","Hal Ashby",1979,130
"Bend it Like Beckham","http://www.imdb.com/title/tt0286499/",5,1220508057,"No","Gurinder Chadha",2002,112
"Best in Show","http://www.imdb.com/title/tt0218839/",4,1220508057,"No","Christopher Guest",2000,90
"Beverly Hills Cop","http://www.imdb.com/title/tt0086960/",3,1220508057,"No","Martin Brest",1984,105
"Beverly Hills Cop III","http://www.imdb.com/title/tt0109254/",2,1220508057,"No","John Landis",1994,104
"Beyond the Sea","http://www.imdb.com/title/tt0363473/",3,1220508057,"No","Kevin Spacey",2004,118
"Bicentennial Man","http://www.imdb.com/title/tt0182789/",2,1220508057,"No","Chris Columbus",1999,132
"Big Bully","http://www.imdb.com/title/tt0115676/",2,1220508057,"No","Steve Miner",1996,90
"Big Daddy","http://www.imdb.com/title/tt0142342/",3,1220508057,"No","Dennis Dugan",1999,93
"Big Fish","http://www.imdb.com/title/tt0319061/",3,1220508057,"No","Tim Burton",2003,125
"Big Momma's House","http://www.imdb.com/title/tt0208003/",2,1220508057,"No","Raja Gosnell",2000,98
"Big Trouble in Little China","http://www.imdb.com/title/tt0090728/",3,1220508057,"No","John Carpenter",1986,99
"Bill & Ted's Excellent Adventure","http://www.imdb.com/title/tt0096928/",3,1220508057,"No","Stephen Herek",1989,90
"Billy Elliot","http://www.imdb.com/title/tt0249462/",2,1220508057,"No","Stephen Daldry",2000,110
"Billy Madison","http://www.imdb.com/title/tt0112508/",4,1220508057,"No","Tamra Davis",1995,89
"Bio-Dome","http://www.imdb.com/title/tt0115683/",3,1220508057,"No","Jason Bloom",1996,88
"Birth","http://www.imdb.com/title/tt0337876/",2,1220508057,"No","Jonathan Glazer",2004,100
"Black Hawk Down","http://www.imdb.com/title/tt0265086/",2,1220508057,"No","Ridley Scott",2001,144
"Blade","http://www.imdb.com/title/tt0120611/",3,1220508057,"No","Stephen Norrington",1998,120
"Blade 2","http://www.imdb.com/title/tt0187738/",1,1220508057,"No","Guillermo del Toro",2002,117
"Blade Runner","http://www.imdb.com/title/tt0083658/",2,1220508057,"No","Ridley Scott",1982,117
"Blankman","http://www.imdb.com/title/tt0109288/",3,1220508057,"No","Mike Binder",1994,96
"Blast from the Past","http://www.imdb.com/title/tt0124298/",3,1220508057,"No","Hugh Wilson",1999,112
"Bloody Sunday","http://www.imdb.com/title/tt0280491/",3,1220508057,"No","Paul Greengrass",2002,107
"Blow","http://www.imdb.com/title/tt0221027/",3,1220508057,"No","Ted Demme",2001,124
"Blown Away","http://www.imdb.com/title/tt0109303/",2,1220508057,"No","Stephen Hopkins",1994,121
"Blue Chips","http://www.imdb.com/title/tt0109305/",3,1220508057,"No","William Friedkin",1994,108
"Blue Velvet","http://www.imdb.com/title/tt0090756/",4,1220508057,"No","David Lynch",1986,120
"Bob & Carol & Ted & Alice","http://www.imdb.com/title/tt0064100/",3,1220508057,"No","Paul Mazursky",1969,105
"Boiler Room","http://www.imdb.com/title/tt0181984/",5,1220508057,"No","Ben Younger",2000,120
"Bonnie and Clyde","http://www.imdb.com/title/tt0061418/",3,1220508057,"No","Arthur Penn",1967,112
"Boogie Nights","http://www.imdb.com/title/tt0118749/",5,1220508057,"No","Paul Thomas Anderson",1997,155
"Boomerang","http://www.imdb.com/title/tt0103859/",3,1220508057,"No","Reginald Hudlin",1992,117
"Bounce","http://www.imdb.com/title/tt0186894/",1,1220508057,"No","Don Roos",2000,106
"Bowling for Columbine","http://www.imdb.com/title/tt0310793/",3,1220508057,"No","Michael Moore",2002,120
"Boys Don't Cry","http://www.imdb.com/title/tt0171804/",3,1220508057,"No","Kimberly Peirce",1999,118
"Bram Stoker's Dracula","http://www.imdb.com/title/tt0103874/",1,1220508057,"No","Francis Ford Coppola",1992,128
"Braveheart","http://www.imdb.com/title/tt0112573/",4,1220508057,"No","Mel Gibson",1995,177
"Breathless","http://www.imdb.com/title/tt0053472/",4,1220508057,"No","Jean-Luc Godard",1960,90
"Brick","http://www.imdb.com/title/tt0393109/",2,1220508057,"No","Rian Johnson",2005,110
"Bridget Jones's Diary","http://www.imdb.com/title/tt0243155/",3,1220508057,"No","Sharon Maguire",2001,97
"Bring it On","http://www.imdb.com/title/tt0204946/",2,1220508057,"No","Peyton Reed",2000,98
"Broadcast News","http://www.imdb.com/title/tt0092699/",3,1220508057,"No","James L. Brooks",1987,133
"Brokeback Mountain","http://www.imdb.com/title/tt0388795/",4,1220508057,"No","Ang Lee",2005,134
"Broken Arrow","http://www.imdb.com/title/tt0115759/",1,1220508057,"No","John Woo",1996,108
"Broken Blossoms or The Yellow Man and the Girl","http://www.imdb.com/title/tt0009968/",1,1220508057,"No","D.W. Griffith",1919,90
"Broken English","http://www.imdb.com/title/tt0772157/",3,1220508057,"No","Zoe R. Cassavetes",2007,97
"Broken Flowers","http://www.imdb.com/title/tt0412019/",3,1220508057,"No","Jim Jarmusch",2005,106
"Bruce Almighty","http://www.imdb.com/title/tt0315327/",1,1220508057,"No","Tom Shadyac",2003,101
"Bubble","http://www.imdb.com/title/tt0454792/",3,1220508057,"No","Steven Soderbergh",2005,73
"Buffalo '66","http://www.imdb.com/title/tt0118789/",4,1220508057,"No","Vincent Gallo",1998,110
"Bukowski: Born Into This","http://www.imdb.com/title/tt0342150/",3,1220508057,"No","John Dullaghan",2003,130
"Bull Durham","http://www.imdb.com/title/tt0094812/",3,1220508057,"No","Ron Shelton",1988,108
"Bullets Over Broadway","http://www.imdb.com/title/tt0109348/",3,1220508057,"No","Woody Allen",1994,98
"Bully","http://www.imdb.com/title/tt0242193/",5,1220508057,"No","Larry Clark",2001,113
"Bus Stop","http://www.imdb.com/title/tt0049038/",2,1220508057,"No","Joshua Logan",1956,96
"But I'm a Cheerleader","http://www.imdb.com/title/tt0179116/",3,1220508057,"No","Jamie Babbit",1999,85
"Butch Cassidy and the Sundance Kid","http://www.imdb.com/title/tt0064115/",3,1220508057,"No","George Roy Hill",1969,110
"Bye Bye, Love","http://www.imdb.com/title/tt0112606/",5,1220508057,"No","Sam Weisman",1995,106
"Cabin Boy","http://www.imdb.com/title/tt0109361/",2,1220508057,"No","Adam Resnick",1994,80
"Camp","http://www.imdb.com/title/tt0342167/",2,1220508057,"No","Todd Graff",2003,114
"Camp Nowhere","http://www.imdb.com/title/tt0109369/",3,1220508057,"No","Jonathan Prince",1994,96
"Can't Hardly Wait","http://www.imdb.com/title/tt0127723/",3,1220508057,"No","Harry Elfont, Deborah Kaplan",1998,100
"Capote","http://www.imdb.com/title/tt0379725/",2,1220508057,"No","Bennett Miller",2005,114
"Capturing the Friedmans","http://www.imdb.com/title/tt0342172/",5,1220508057,"No","Andrew Jarecki",2003,107
"Carpool","http://www.imdb.com/title/tt0115836/",2,1220508057,"No","Arthur Hiller",1996,89
"Casablanca","http://www.imdb.com/title/tt0034583/",1,1220508057,"No","Michael Curtiz",1942,102
"Casino","http://www.imdb.com/title/tt0112641/",5,1220508057,"No","Martin Scorsese",1995,178
"Casper","http://www.imdb.com/title/tt0112642/",3,1220508057,"No","Brad Silberling",1995,100
"Cast Away","http://www.imdb.com/title/tt0162222/",3,1220508057,"No","Robert Zemeckis",2000,143
"Catch Me if You Can","http://www.imdb.com/title/tt0264464/",3,1220508057,"No","Steven Spielberg",2000,141
"Center Stage","http://www.imdb.com/title/tt0210616/",2,1220508057,"No","Nicholas Hytner",2000,115
"Chairman of the Board","http://www.imdb.com/title/tt0118836/",2,1220508057,"No","Alex Zamm",1998,92
"Chalk","http://www.imdb.com/title/tt0758738/",3,1220508057,"No","Mike Akel",2006,85
"Chaplin","http://www.imdb.com/title/tt0103939/",3,1220508057,"No","Richard Attenborough",1992,143
"Charlie's Angels","http://www.imdb.com/title/tt0160127/",1,1220508057,"No","McG",2000,98
"Chasing Amy","http://www.imdb.com/title/tt0118842/",3,1220508057,"No","Kevin Smith",1997,113
"Chicago","http://www.imdb.com/title/tt0299658/",2,1220508057,"No","Rob Marshall",2002,113
"Chinatown","http://www.imdb.com/title/tt0071315/",1,1220508057,"No","Roman Polanski",1974,131
"Chocolat","http://www.imdb.com/title/tt0241303/",1,1220508057,"No","Lasse Hallstrom",2000,121
"Chuck & Buck","http://www.imdb.com/title/tt0200530/",3,1220508057,"No","Miguel Arteta",2000,96
"Citizen Kane","http://www.imdb.com/title/tt0033467/",4,1220508057,"No","Orson Welles",1941,119
"City by the Sea","http://www.imdb.com/title/tt0269095/",1,1220508057,"No","Michael Caton-Jones",2002,108
"City Hall","http://www.imdb.com/title/tt0115907/",1,1220508057,"No","Harold Becker",1996,111
"City Slickers","http://www.imdb.com/title/tt0101587/",3,1220508057,"No","Ron Underwood",1991,112
"City Slickers II: The Legend of Curly's Gold","http://www.imdb.com/title/tt0109439/",2,1220508057,"No","Paul Weiland",1994,116
"Class Act","http://www.imdb.com/title/tt0103978/",3,1220508057,"No","Randall Miller",1992,98
"Clerks","http://www.imdb.com/title/tt0109445/",1,1220508057,"No","Kevin Smith",1994,92
"Cliffhanger","http://www.imdb.com/title/tt0106582/",2,1220508057,"No","Renny Harlin",1993,113
"Closer","http://www.imdb.com/title/tt0376541/",4,1220508057,"No","Mike Nichols",2004,104
"Clue","http://www.imdb.com/title/tt0088930/",3,1220508057,"No","Jonathan Lynn",1985,94
"Clueless","http://www.imdb.com/title/tt0112697/",5,1220508057,"No","Amy Heckerling",1995,97
"Cocktail","http://www.imdb.com/title/tt0094889/",3,1220508057,"No","Roger Donaldson",1988,104
"Coffee and Cigarettes","http://www.imdb.com/title/tt0379217/",3,1220508057,"No","Jim Jarmusch",2003,95
"Cold Mountain","http://www.imdb.com/title/tt0159365/",3,1220508057,"No","Anthony Minghella",2003,154
"Collateral","http://www.imdb.com/title/tt0369339/",3,1220508057,"No","Michael Mann",2004,120
"Comedian","http://www.imdb.com/title/tt0328962/",5,1220508057,"No","Christian Charles",2002,82
"Coming to America","http://www.imdb.com/title/tt0094898/",4,1220508057,"No","John Landis",1988,116
"Con Air","http://www.imdb.com/title/tt0118880/",2,1220508057,"No","Simon West",1997,115
"Con Man: The True Story of an Ivy League Imposter","http://www.imdb.com/title/tt0353316/",2,1220508057,"No","Jesse Moss",2003,93
"Coneheads","http://www.imdb.com/title/tt0106598/",3,1220508057,"No","Steve Barron",1993,88
"Confessions of a Dangerous Mind","http://www.imdb.com/title/tt0270288/",3,1220508057,"No","George Clooney",2002,113
"Confidence","http://www.imdb.com/title/tt0310910/",2,1220508057,"No","James Foley",2003,97
"Congo","http://www.imdb.com/title/tt0112715/",2,1220508057,"No","Frank Marshall",1995,109
"Conspiracy Theory","http://www.imdb.com/title/tt0118883/",1,1220508057,"No","Richard Donner",1997,135
"Contact","http://www.imdb.com/title/tt0118884/",3,1220508057,"No","Robert Zemeckis",1997,153
"Control Room","http://www.imdb.com/title/tt0391024/",3,1220508057,"No","Jehane Noujaim",2004,84
"Cool Runnings","http://www.imdb.com/title/tt0106611/",3,1220508057,"No","Jon Turteltaub",1993,98
"Cop and a Half","http://www.imdb.com/title/tt0106613/",2,1220508057,"No","Henry Winkler",1993,97
"Corrina, Corrina","http://www.imdb.com/title/tt0109484/",3,1220508057,"No","Jessie Nelson",1994,115
"Coyote Ugly","http://www.imdb.com/title/tt0200550/",2,1220508057,"No","David McNally",2000,100
"Crash","http://www.imdb.com/title/tt0375679/",3,1220508057,"No","Paul Haggis",2004,112
"Crazy/Beautiful","http://www.imdb.com/title/tt0250224/",2,1220508057,"No","John Stockwell",2001,99
"Crimes and Misdemeanors","http://www.imdb.com/title/tt0097123/",3,1220508057,"No","Woody Allen",1989,104
"Crocodile Dundee","http://www.imdb.com/title/tt0090555/",3,1220508057,"No","Peter Faiman",1986,93
"Crouching Tiger, Hidden Dragon","http://www.imdb.com/title/tt0190332/",3,1220508057,"No","Ang Lee",2000,120
"Cruel Intentions","http://www.imdb.com/title/tt0139134/",5,1220508057,"No","Roger Kumble",1999,97
"Crumb","http://www.imdb.com/title/tt0109508/",5,1220508057,"No","Terry Zwigoff",1994,119
"Cry-Baby","http://www.imdb.com/title/tt0099329/",3,1220508057,"No","John Waters",1990,85
"Dangerous Minds","http://www.imdb.com/title/tt0112792/",3,1220508057,"No","John N. Smith",1995,99
"Das Cabinet des Dr. Caligari","http://www.imdb.com/title/tt0010323/",2,1220508057,"No","Robert Wiene",1920,71
"Dave","http://www.imdb.com/title/tt0106673/",3,1220508057,"No","Ivan Reitman",1993,110
"Day for Night","http://www.imdb.com/title/tt0070460/",4,1220508057,"No","Francois Truffaut",1973,115
"Days of Heaven","http://www.imdb.com/title/tt0077405/",3,1220508057,"No","Terrence Malick",1978,94
"Dazed and Confused","http://www.imdb.com/title/tt0106677/",5,1240463557,"Yes","Richard Linklater",1993,102
"Dead Man on Campus","http://www.imdb.com/title/tt0118301/",3,1220508057,"No","Alan Cohn",1998,96
"Dead Man Walking","http://www.imdb.com/title/tt0112818/",3,1220508057,"No","Tim Robbins",1995,122
"Death Becomes Her","http://www.imdb.com/title/tt0104070/",3,1220508057,"No","Robert Zemeckis",1992,104
"Death Proof","http://www.imdb.com/title/tt1028528/",3,1220508057,"No","Quentin Tarantino",2007,114
"Death to Smoochy","http://www.imdb.com/title/tt0266452/",3,1220508057,"No","Danny DeVito",2002,109
"Deep Water","http://www.imdb.com/title/tt0460766/",4,1220508057,"No","Louise Osmond, Jerry Rothwell",2006,92
"Def Jam's How To Be a Player","http://www.imdb.com/title/tt0119326/",1,1220508057,"No","Lionel C. Martin",1997,93
"Demolition Man","http://www.imdb.com/title/tt0106697/",3,1220508057,"No","Marco Brambilla",1993,115
"Demonlover","http://www.imdb.com/title/tt0284034/",1,1220508057,"No","Olivier Assayas",2002,129
"Detroit Rock City","http://www.imdb.com/title/tt0165710/",3,1220508057,"No","Adam Rifkin",1999,95
"Deuce Bigalow: Male Gigolo","http://www.imdb.com/title/tt0205000/",3,1220508057,"No","Mike Mitchell",1999,88
"Devil's Advocate","http://www.imdb.com/title/tt0118971/",3,1220508057,"No","Taylor Hackford",1997,144
"Devil's Playground","http://www.imdb.com/title/tt0293088/",3,1220508057,"No","Lucy Walker",2002,77
"DiG!","http://www.imdb.com/title/tt0388888/",5,1220508057,"No","Ondi Timoner",2004,107
"Dirty Pretty Things","http://www.imdb.com/title/tt0301199/",3,1220508057,"No","Stephen Frears",2002,97
"Dirty Work","http://www.imdb.com/title/tt0120654/",2,1220508057,"No","Bob Saget",1998,82
"Do the Right Thing","http://www.imdb.com/title/tt0097216/",3,1220508057,"No","Spike Lee",1989,120
"Doc Hollywood","http://www.imdb.com/title/tt0101745/",3,1220508057,"No","Michael Caton-Jones",1991,104
"Doctor Dolittle","http://www.imdb.com/title/tt0118998/",2,1220508057,"No","Betty Thomas",1998,85
"Dodgeball: A True Underdog Story","http://www.imdb.com/title/tt0364725/",3,1220508057,"No","Rawson Marshall Thurber",2004,92
"Dog Day Afternoon","http://www.imdb.com/title/tt0072890/",3,1220508057,"No","Sidney Lumet",1975,125
"Dogma","http://www.imdb.com/title/tt0120655/",3,1220508057,"No","Kevin Smith",1999,130
"Dogville","http://www.imdb.com/title/tt0276919/",3,1220508057,"No","Lars von Trier",2003,178
"Don't Be a Menace to South Central While Drinking Your Juice in the Hood","http://www.imdb.com/title/tt0116126/",4,1220508057,"No","Paris Barclay",1996,89
"Don't Tell Mom the Babysitter's Dead","http://www.imdb.com/title/tt0101757/",3,1220508057,"No","Stephen Herek",1991,102
"Donnie Brasco","http://www.imdb.com/title/tt0119008/",3,1220508057,"No","Mike Newell",1997,127
"Donnie Darko","http://www.imdb.com/title/tt0246578/",5,1220508057,"No","Richard Kelly",2001,113
"Double Indemnity","http://www.imdb.com/title/tt0036775/",3,1220508057,"No","Billy Wilder",1944,107
"Double Jeopardy","http://www.imdb.com/title/tt0150377/",2,1220508057,"No","Bruce Beresford",1999,105
"Down with Love","http://www.imdb.com/title/tt0309530/",2,1220508057,"No","Peyton Reed",2003,101
